wav_filename,wav_filesize,transcript
010017d6d8.wav,140878,উত্তর খুঁজিতে খুঁজিতে
010028a0cf.wav,259278,লেখাপড়া করতে পারতাম
01006aa91a.wav,86478,ধর্মের কাজ সেভাবে করবো
0100775f68.wav,89678,২৮টি ওষুধের দোকানে
0100eda5b7.wav,115278,মলিন কমল-মালা
0101134fd1.wav,112078,মিথ্যা ও ষড়যন্ত্র করে
01011fbd62.wav,121678,তারা সকল
0101efa09b.wav,246478,"জাপানে নববর্ষ উপলক্ষে বানানো হয় চালের কেক, যাকে বলা হয় ‘মোশি’।"
01020355ec.wav,86478,বিছানা থেকে
01021bb997.wav,121678,বাংলাদেশ নাটোক
010228f993.wav,86478,সাড়ে ৮টার দিকে
01023a34e6.wav,92878,আপাতত নিরাপদ আশ্রয়
010266848b.wav,115278,ইলিয়াস তরুণ পাঠক শ্রেণীর
01028519d3.wav,131278,রাজ জানান
01028fb20a.wav,118478,বালিতে আন্তর্জাতিক বিমানবন্দর
0102a82447.wav,156878,শিবম শর্মা ও লক্ষ্মীপতি বালাজি
0102b66195.wav,99278,অনুপ্রেরণা জোগাচ্ছে
0102f22791.wav,115278,মোট দেশজ উতপাদন বৃদ্ধির
010346c8b2.wav,105678,পালন করবে
01040137de.wav,150478,দাঙ্গাবাজের দল
0105817e39.wav,102478,আগে এর প্রতি গ্রামের
0105ee921c.wav,80078,মূল প্রস্তাব
01063127fc.wav,140878,সেই আয়াতটি অর্থাৎ
01067f51f2.wav,105678,নাশকতাকারী হিসেবে
01074d53ae.wav,76878,মনে হবে বুঝি
01076eafa0.wav,115278,ঘোড়া প্রস্তুত
0107a65e29.wav,144078,তখন গুপি তাকে বলল
0107e9e6eb.wav,73678,দ্বিমুখী অডিও
0108157f1a.wav,131278,বাংলাদেশের জন্য কোন সুযোগ
0108471844.wav,118478,আলোচনায় আসেন তিনি
01086639b5.wav,86478,নেতা-কর্মীদের সঙ্গে
010884edf8.wav,73678,দিনাজপুরে
01089d50fc.wav,96078,আইফোনের বিক্রির
0108be18cf.wav,112078,ও বোনের আপদ্ পড়িলে
0108cdfced.wav,124878,লর্ড কার্জন কিসের ভিত্তিতে
0108d5d597.wav,105678,উন্নয়ন সম্ভব নয়
010982a6dc.wav,89678,অবশ্য উদ্ধার করা দুরূহ
0109a519d8.wav,73678,সম্ভোগ
010a4b37a9.wav,92878,ডাকাতদল অস্ত্রের মুখে
010ad1782a.wav,70478,পাবনা
010add747a.wav,99278,আত্মরক্ষার প্রয়োজনটাই
010af230ec.wav,121678,সুচিত্রা সেনের পারিবারিক নাম ছিল রমা দাশগুপ্ত।
010b30757b.wav,102478,অবধারণ করিয়া রাখিয়াছি
010bd95822.wav,137678,গরিব বাঙ্গালীর ছেলে সাহেব হইয়া
010c21c374.wav,99278,যাতায়াত করত
010c2d0d77.wav,70478,অজানা এক কারণে
010c3b2480.wav,134478,স্থানীয় ইউনিয়ন পরিষদ চেয়ারম্যান
010c941d4b.wav,86478,সেখানে ফ্রান্সের বিরুদ্ধে
010d190b45.wav,92878,নেমেছিল বৃষ্টি
010d920cfb.wav,118478,ইউক্রেনের পরিস্থিতি
010da6285e.wav,76878,অপরাজিতা
010e0e10a3.wav,115278,বগুড়ায় চতুর্থ
010e333dcf.wav,89678,আমার ছেলেমেয়েরা
010e6e3294.wav,102478,ব্যাগের ভেতর থেকে
010e8d9edb.wav,140878,টেট্রাঅ্যামিন ইত্যাদি বলে
010e93d73e.wav,112078,আমাকে টেনে এনেছিল
010ee27913.wav,134478,কাঁপিতে লাগিলেন
010f6966bc.wav,115278,নয়তো হার্টফেল করত
010fb2520d.wav,99278,দুই গোলার্ধ থেকে
010fd1f06f.wav,64078,একবারও আকাশটা
010fe77eef.wav,115278,সংসদের কোনো সদস্য মারা গেলে
01103ebdbc.wav,73678,অংশগ্রহণ করেছি
011088dffd.wav,131278,দেশের দুই শীর্ষস্থানীয় প্রতিষ্ঠানের
0110f2775f.wav,105678,আমরা যে রাজাবাড়ি যাব
0111495e98.wav,115278,বাণিজ্যিকভাবে পাখির খামার গড়ে
0111af71a8.wav,70478,মোদির সামনে
011212642b.wav,160078,সোহরাব হোসেন ছায়ানটের
011219fd88.wav,102478,নামাজ সেরে বাবারা
01129c7bca.wav,80078,রাজনীতিতে যোগ দেন
0112ef2760.wav,86478,বলিউড নিউজ
01130fbd13.wav,86478,গ্যাস আবিষ্কৃত হয়েছে
011316ce46.wav,96078,আমি কোনোভাবেই
0113e7e75e.wav,137678,সবাই অপেক্ষা করছে
01140baad3.wav,115278,আঙুলে তুড়ি বাজিয়ে বলি
01142ed18e.wav,105678,সেখান থেকে বের হয়ে যেতে হয়
01143175dd.wav,115278,ব্লাডারটা খুলে ফেলে
0114639474.wav,80078,এর আগে তিনি
01147cb696.wav,92878,আগুনে বস্তির
011481592e.wav,92878,পারিবারিক শিক্ষাই
01148d68d9.wav,105678,গুলির আশঙ্কায়
011492c92e.wav,118478,শুনুন দলের অন্যতম সদস্য
01149e1b7b.wav,131278,সকল ধর্মবর্ণের আমেরিকানই
0114ae6fc2.wav,115278,জমায় নিউজিল্যান্ড
0114eb826d.wav,156878,কিছু টিপস দিয়েছেন
011585090f.wav,92878,পথিক
0115f83e28.wav,80078,ঘটনা ঘটে গেছে
011613f38c.wav,150478,একজন বাপ্টিস্ট ধর্মযাজক
01167992e1.wav,76878,সম্পর্ক রয়েছে
01168d2b5d.wav,99278,হরতালে টহলরত পুলিশের
0116921838.wav,147278,রূপ ও ছন্দের মিলনে
0116cc38f5.wav,80078,আঘাত হানে
01173183e1.wav,92878,আমরা ওদের দিকে
011747668c.wav,185678,সেজন্য হিস্পানিক কমিউনিটির কাছে
01175dbd12.wav,147278,দুইটি উপদল এ বিভক্ত হয়
011778d828.wav,73678,তা হয়নি
0117bcaf61.wav,86478,নিশ্চিত না হওয়ার আগে
0118626532.wav,156878,পদযাত্রাটি আগারগাঁওয়ের
01199a2b72.wav,76878,মেয়েদের ব্যাপারে
011b0701cc.wav,166478,তন্ত্র মন্ত্র শিক্ষা
011be9978b.wav,76878,তাই মনে করেন
011c544c40.wav,137678,পারোনি বলেই
011c670143.wav,105678,থেকে আলাদা হয়ে যায়
011ca8068b.wav,166478,প্রতি ছয়শ পরিবারের জন্য একজন করে কর্মী নির্দিষ্ট করা হয়েছিল।
011da4cbed.wav,172878,জানুয়ারি ও ফেব্রুয়ারির দুই সমীক্ষাতেই
011df31182.wav,176078,১৯৯৪ থেকে ১৯৯৯ সাল পর্যন্ত
011e321fa9.wav,147278,ইরাকের প্রধানমন্ত্রী নূরি আল মালিকি
011e6fbf35.wav,102478,হৃদরোগের চিকিৎসার জন্য
011ebca6a0.wav,108878,"নরোডোম শিয়ামনি,"
011ee51247.wav,96078,আগুন নেভাতে
0120112e11.wav,118478,তাদের প্রভাববলয় থেকে বেরিয়ে যেতে
012056cb34.wav,73678,খবর অনুযায়ী
